distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
binom,0.5,5,3,0.99,6,6.5,2494.3886749999997,2471.803502272725,2481.7662799999994,2601.794904999999,9086,2460
binom,0.5,5,3,0.99,7,6.5,2576.3247749999996,2555.5742704545464,2568.7279949999993,2668.3989099999994,3067,4053
binom,0.5,5,3,0.99,8,6.5,2671.349499999999,2641.80683030303,2654.0031999999997,2773.1115,8233,6325
binom,0.5,5,3,0.99,9,6.5,2660.175750000001,2633.9268890000003,2646.0932495999996,2763.0527005000004,2682,6379
binom,0.5,10,1,0.95,0,11.5,3061.7827500000008,1675.4899363636366,1761.4597500000002,1781.9944500000001,7070,1341
binom,0.5,10,1,0.95,1,11.5,3094.602,1698.6003090909087,1762.6141499999999,1766.79551,8267,4824
binom,0.5,10,1,0.95,2,11.5,2860.498,1646.330008080808,1708.3781500000002,1707.5873,9476,9324
binom,0.5,10,1,0.95,3,11.5,2898.7655,1676.0034363636366,1756.39806,1765.6066799999999,3928,9374
binom,0.5,10,1,0.95,4,11.5,2877.952,1631.470863636364,1708.41564,1719.49286,7823,9355
binom,0.5,10,1,0.95,5,11.5,2966.1492755102036,1682.1426503916719,1752.2537939795916,1764.5263359183673,5075,3018
binom,0.5,10,1,0.95,6,11.5,3022.1935,1691.281423611111,1757.4474474999997,1758.98228184,1431,951
binom,0.5,10,1,0.95,7,11.5,2883.8445,1640.0483287878787,1711.6525550000001,1716.5127999999997,3141,7227
binom,0.5,10,1,0.95,8,11.5,2868.586321428573,1634.4911826530615,1705.7317769387755,1704.2729695918367,8172,6580
binom,0.5,10,1,0.95,9,11.5,2928.8915,1639.3897106060608,1708.2799350000003,1711.4659650000003,7156,338
binom,0.5,10,1,0.975,0,11.5,3278.819,1872.0830999999996,1961.1147999999998,1996.6356199999998,5836,3166
binom,0.5,10,1,0.975,1,11.5,3129.456,1814.8682333333334,1891.77165,1920.969,5348,8581
binom,0.5,10,1,0.975,2,11.5,3066.4999094076647,1808.1191968007602,1884.5322449477353,1910.6308337282228,8338,8454
binom,0.5,10,1,0.975,3,11.5,3094.063999999998,1741.0845166666652,1820.5945249999986,1827.9513299999983,1249,2352
binom,0.5,10,1,0.975,4,11.5,2986.266,1785.6169424242428,1879.4218999999996,1903.5558399999995,5856,7315
binom,0.5,10,1,0.975,5,11.5,3060.9365,1737.75503030303,1828.04,1863.2591,9997,1995
binom,0.5,10,1,0.975,6,11.5,3055.878,1800.5449022727275,1889.3533312500003,1912.4891489999998,1021,7780
binom,0.5,10,1,0.975,7,11.5,3041.7355,1740.9232666666667,1819.8661999999997,1836.9218399999997,8973,6486
