distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
geom,0.5,10,2,0.95,9,11.5,1415.04,885.0703636363636,882.9595649999999,902.9858500000001,711,1247
geom,0.5,10,2,0.975,0,11.5,1499.4071875000002,944.6280991161615,946.0682875,985.1357024999999,6196,3120
geom,0.5,10,2,0.975,1,11.5,1359.0466874999986,890.1322316919179,888.8837824999986,924.1775074999985,1629,8689
geom,0.5,10,2,0.975,2,11.5,1354.926,880.8713515151516,882.67051,911.41716,1384,6466
geom,0.5,10,2,0.975,3,11.5,1360.424,883.869040909091,882.4898269999999,905.50105625,1937,784
geom,0.5,10,2,0.975,4,11.5,1358.565,885.185241919192,885.1918499999999,908.08005,4036,7218
geom,0.5,10,2,0.975,5,11.5,1443.381,940.8522363636362,944.3126,974.7600999999999,914,5373
geom,0.5,10,2,0.975,6,11.5,1355.946,884.9787575757575,882.1525699999999,918.46718,2279,6091
geom,0.5,10,2,0.975,7,11.5,1500.0775,945.2323818181817,946.9058899999999,971.74572,711,1247
geom,0.5,10,2,0.975,8,11.5,1499.4071875000002,944.6280991161615,946.0682875,985.1357024999999,6196,3120
geom,0.5,10,2,0.975,9,11.5,1359.0466874999986,890.1322316919179,888.8837824999986,924.1775074999985,1629,8689
geom,0.5,10,2,0.99,0,11.5,1696.8472499999996,1169.4719379545454,1174.9191942,1213.2629451999999,1384,6466
geom,0.5,10,2,0.99,1,11.5,1530.9202499999994,1015.0417722222223,1018.5683899999999,1048.50031,1937,784
geom,0.5,10,2,0.99,2,11.5,1551.8467499999995,1090.60075,1096.8093000000001,1125.4408500000002,4036,7218
geom,0.5,10,2,0.99,3,11.5,1616.0387499999995,1090.8763833333333,1095.18861,1128.15831,914,5373
geom,0.5,10,2,0.99,4,11.5,1441.271,944.3414555555556,946.6283999999999,985.8328600000001,2279,6091
geom,0.5,10,2,0.99,5,11.5,1674.6604268610104,1094.6625304528889,1097.6891193909423,1125.2629663196253,711,1247
geom,0.5,10,2,0.99,6,11.5,1759.2255,1166.9601198888886,1173.1529180999999,1210.3315240499999,6196,3120
geom,0.5,10,2,0.99,7,11.5,1527.902,1019.0885,1022.95988,1062.4462999999998,1629,8689
geom,0.5,10,2,0.99,8,11.5,1696.8472499999996,1169.4719379545454,1174.9191942,1213.2629451999999,1384,6466
geom,0.5,10,2,0.99,9,11.5,1530.9202499999994,1015.0417722222223,1018.5683899999999,1048.50031,1937,784
geom,0.5,10,3,0.95,0,11.5,1280.4407499999995,903.916068181818,901.1583800000001,917.4124,4036,7218
geom,0.5,10,3,0.95,1,11.5,1355.149,937.4705787878787,934.20412,970.88648,914,5373
geom,0.5,10,3,0.95,2,11.5,1274.2235,899.9219090909091,894.7526750000001,911.30142,2279,6091
geom,0.5,10,3,0.95,3,11.5,1411.4835,945.4824969696969,940.5404149999999,964.09703,711,1247
geom,0.5,10,3,0.95,4,11.5,1271.7015,894.1849400252526,890.2870079999999,901.5516935,6196,3120
geom,0.5,10,3,0.95,5,11.5,1279.674,908.3707222222221,903.5093800000001,921.1289,1629,8689
geom,0.5,10,3,0.95,6,11.5,1276.5586184210529,896.6317275119618,894.4744863157895,905.5520068421054,1384,6466
